Order number,Client ID,Product code,Delivery Date,Delivery amount
3491,7158,218988,1/22/2020,2727
3491,7158,111890,1/22/2020,37140
3491,7158,148533,1/22/2020,35503
3491,7158,509165,1/22/2020,50236
3491,7158,191626,1/22/2020,4555
3491,7158,207005,1/22/2020,60029
3491,7158,202041,1/22/2020,24038
3491,7158,186959,1/22/2020,41947
55887,7135,234028,1/27/2020,29807
80230,7118,509369,1/27/2020,2475
10922,7167,234028,1/28/2020,18974
10937,7167,495716,1/28/2020,40302
10937,7167,495719,1/28/2020,21622
10937,7167,495720,1/28/2020,63863
10937,7167,495713,1/28/2020,28020
10937,7167,495721,1/28/2020,39428
60114,7136,512702,1/29/2020,44748
3775,7158,232305,1/29/2020,27736
60114,7136,111893,1/29/2020,38728
3775,7158,111943,1/29/2020,20880
3775,7158,148532,1/29/2020,9456
60114,7136,512016,1/29/2020,47582
60114,7136,512015,1/29/2020,9470
60114,7136,512018,1/29/2020,9763
3775,7158,217825,1/29/2020,1891
60114,7136,512017,1/29/2020,62585
60114,7136,512701,1/29/2020,43043
60114,7136,512019,1/29/2020,48566
60114,7136,148537,1/29/2020,58613
60114,7136,512020,1/29/2020,60989
60114,7136,512182,1/29/2020,31404
57745,7140,234028,2/10/2020,64494
33418,7161,510986,2/12/2020,36392
50102,7134,234028,2/12/2020,5906
33418,7161,510984,2/12/2020,29026
33418,7161,510985,2/12/2020,22776
33418,7161,510987,2/12/2020,44377
50102,7134,512016,2/12/2020,54614
50102,7134,512182,2/12/2020,62720
50102,7134,512020,2/12/2020,48089
50102,7134,512019,2/12/2020,3438
50102,7134,512701,2/12/2020,37069
50102,7134,512017,2/12/2020,31164
50102,7134,512021,2/12/2020,9573
50102,7134,512018,2/12/2020,23015
50102,7134,512015,2/12/2020,42248
50102,7134,512702,2/12/2020,34345
81318,7118,510987,2/17/2020,24829
81318,7118,510985,2/17/2020,37186
81318,7118,510984,2/17/2020,4771
81318,7118,234028,2/17/2020,62945
